A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0933,Linezolid,D1457,Selexipag,Pharmacodynamic additive effects
D1345,Procarbazine,D0586,Epoprostenol,Pharmacodynamic additive effects
D1345,Procarbazine,D1457,Selexipag,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0586,Epoprostenol,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1457,Selexipag,Pharmacodynamic additive effects
D1263,Phenelzine,D0586,Epoprostenol,Pharmacodynamic additive effects
D1263,Phenelzine,D1457,Selexipag,Pharmacodynamic additive effects
D1455,Selegiline,D0586,Epoprostenol,Pharmacodynamic additive effects
D1455,Selegiline,D1457,Selexipag,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1457,Selexipag,Pharmacodynamic additive effects
D0933,Linezolid,D0792,Iloprost,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0792,Iloprost,Pharmacodynamic additive effects
D1263,Phenelzine,D0792,Iloprost,Pharmacodynamic additive effects
D1455,Selegiline,D0792,Iloprost,Pharmacodynamic additive effects
D0933,Linezolid,D0775,Hydroflumethiazide,Pharmacodynamic additive effects
D0933,Linezolid,D1633,Trichlormethiazide,Pharmacodynamic additive effects
D0933,Linezolid,D0217,Bumetanide,Pharmacodynamic additive effects
D0933,Linezolid,D0704,Furosemide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0217,Bumetanide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0613,Etacrynic acid,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0775,Hydroflumethiazide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1633,Trichlormethiazide,Pharmacodynamic additive effects
D1263,Phenelzine,D0217,Bumetanide,Pharmacodynamic additive effects
D1263,Phenelzine,D0613,Etacrynic acid,Pharmacodynamic additive effects
D1263,Phenelzine,D1633,Trichlormethiazide,Pharmacodynamic additive effects
D0933,Linezolid,D1311,Polythiazide,Pharmacodynamic additive effects
D1345,Procarbazine,D1311,Polythiazide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1311,Polythiazide,Pharmacodynamic additive effects
D1263,Phenelzine,D1311,Polythiazide,Pharmacodynamic additive effects
D1455,Selegiline,D1311,Polythiazide,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1311,Polythiazide,Pharmacodynamic additive effects
D0933,Linezolid,D1690,Verapamil,Pharmacodynamic additive effects
D0933,Linezolid,D0396,Cyclandelate,Pharmacodynamic additive effects
D1345,Procarbazine,D0396,Cyclandelate,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0396,Cyclandelate,Pharmacodynamic additive effects
D1263,Phenelzine,D0396,Cyclandelate,Pharmacodynamic additive effects
D1455,Selegiline,D0396,Cyclandelate,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0396,Cyclandelate,Pharmacodynamic additive effects
D0933,Linezolid,D0911,Levamlodipine,Pharmacodynamic additive effects
D0933,Linezolid,D1134,Nifedipine,Pharmacodynamic additive effects
D1345,Procarbazine,D0911,Levamlodipine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0911,Levamlodipine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1134,Nifedipine,Pharmacodynamic additive effects
D1263,Phenelzine,D0911,Levamlodipine,Pharmacodynamic additive effects
D1263,Phenelzine,D1134,Nifedipine,Pharmacodynamic additive effects
D1455,Selegiline,D0911,Levamlodipine,Pharmacodynamic additive effects
D1455,Selegiline,D1134,Nifedipine,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0911,Levamlodipine,Pharmacodynamic additive effects
D0933,Linezolid,D0798,Indapamide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0798,Indapamide,Pharmacodynamic additive effects
D1263,Phenelzine,D0798,Indapamide,Pharmacodynamic additive effects
D1385,Rasagiline,D0980,Maraviroc,Pharmacodynamic additive effects
D1385,Rasagiline,D1466,Silodosin,Pharmacodynamic additive effects
D1385,Rasagiline,D0942,Lofexidine,Pharmacodynamic additive effects
D1385,Rasagiline,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D1437,Safinamide,D0138,Azilsartan medoxomil,Pharmacodynamic additive effects
D1385,Rasagiline,D0038,Aliskiren,Pharmacodynamic additive effects
D1437,Safinamide,D0038,Aliskiren,Pharmacodynamic additive effects
D1385,Rasagiline,D0864,Isoxsuprine,Pharmacodynamic additive effects
D1437,Safinamide,D0864,Isoxsuprine,Pharmacodynamic additive effects
D1385,Rasagiline,D0352,Clevidipine,Pharmacodynamic additive effects
D1385,Rasagiline,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D1385,Rasagiline,D0860,Isosorbide,Pharmacodynamic additive effects
D1437,Safinamide,D0860,Isosorbide,Pharmacodynamic additive effects
D1385,Rasagiline,D0082,Amrinone,Pharmacodynamic additive effects
D1385,Rasagiline,D0128,Avanafil,Pharmacodynamic additive effects
D1385,Rasagiline,D1457,Selexipag,Pharmacodynamic additive effects
D1437,Safinamide,D1457,Selexipag,Pharmacodynamic additive effects
D1385,Rasagiline,D0396,Cyclandelate,Pharmacodynamic additive effects
D1385,Rasagiline,D0911,Levamlodipine,Pharmacodynamic additive effects
D1437,Safinamide,D0911,Levamlodipine,Pharmacodynamic additive effects
D0770,Hydralazine,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0770,Hydralazine,D0959,Lumateperone,Pharmacodynamic additive effects
D0770,Hydralazine,D0791,Iloperidone,Pharmacodynamic additive effects
D0770,Hydralazine,D1576,Thiothixene,Pharmacodynamic additive effects
D0770,Hydralazine,D1084,Molindone,Pharmacodynamic additive effects
D0770,Hydralazine,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0770,Hydralazine,D0262,Cariprazine,Pharmacodynamic additive effects
D0770,Hydralazine,D0112,Asenapine,Pharmacodynamic additive effects
D0770,Hydralazine,D0961,Lurasidone,Pharmacodynamic additive effects
D0770,Hydralazine,D1148,Nitrous acid,Pharmacodynamic additive effects
D0770,Hydralazine,D1385,Rasagiline,Pharmacodynamic additive effects
D0770,Hydralazine,D1211,Ozanimod,Pharmacodynamic additive effects
D0585,Eplerenone,D0202,Brexpiprazole,Pharmacodynamic additive effects
D0585,Eplerenone,D0959,Lumateperone,Pharmacodynamic additive effects
D0585,Eplerenone,D0791,Iloperidone,Pharmacodynamic additive effects
D0585,Eplerenone,D1215,Paliperidone,Pharmacodynamic additive effects
D0585,Eplerenone,D0067,Amisulpride,Pharmacodynamic additive effects
D0585,Eplerenone,D1257,Perphenazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1413,Risperidone,Pharmacodynamic additive effects
D0585,Eplerenone,D1576,Thiothixene,Pharmacodynamic additive effects
D0585,Eplerenone,D1084,Molindone,Pharmacodynamic additive effects
D0585,Eplerenone,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0585,Eplerenone,D0262,Cariprazine,Pharmacodynamic additive effects
D0585,Eplerenone,D0037,Alimemazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1019,Methdilazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1355,Propiomazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1352,Promethazine,Pharmacodynamic additive effects
D0585,Eplerenone,D0112,Asenapine,Pharmacodynamic additive effects
D0585,Eplerenone,D0961,Lurasidone,Pharmacodynamic additive effects
D1501,Spironolactone,D0202,Brexpiprazole,Pharmacodynamic additive effects
D1501,Spironolactone,D0678,Fluphenazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0959,Lumateperone,Pharmacodynamic additive effects
D1501,Spironolactone,D0791,Iloperidone,Pharmacodynamic additive effects
D1501,Spironolactone,D1638,Triflupromazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1215,Paliperidone,Pharmacodynamic additive effects
D1501,Spironolactone,D0067,Amisulpride,Pharmacodynamic additive effects
D1501,Spironolactone,D1574,Thioridazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1576,Thiothixene,Pharmacodynamic additive effects
D1501,Spironolactone,D1346,Prochlorperazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1413,Risperidone,Pharmacodynamic additive effects
D1501,Spironolactone,D1257,Perphenazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0324,Chlorpromazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0750,Haloperidol,Pharmacodynamic additive effects
D1501,Spironolactone,D1084,Molindone,Pharmacodynamic additive effects
D1501,Spironolactone,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0262,Cariprazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0037,Alimemazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1019,Methdilazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1355,Propiomazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1352,Promethazine,Pharmacodynamic additive effects
D1501,Spironolactone,D0112,Asenapine,Pharmacodynamic additive effects
D1501,Spironolactone,D0961,Lurasidone,Pharmacodynamic additive effects
D0585,Eplerenone,D1637,Trifluoperazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1637,Trifluoperazine,Pharmacodynamic additive effects
D0585,Eplerenone,D0105,Aripiprazole,Pharmacodynamic additive effects
D0585,Eplerenone,D1010,Mesoridazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1368,Quetiapine,Pharmacodynamic additive effects
D1501,Spironolactone,D1010,Mesoridazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1368,Quetiapine,Pharmacodynamic additive effects
D1501,Spironolactone,D0105,Aripiprazole,Pharmacodynamic additive effects
D0585,Eplerenone,D1148,Nitrous acid,Pharmacodynamic additive effects
D1501,Spironolactone,D1148,Nitrous acid,Pharmacodynamic additive effects
D0585,Eplerenone,D1345,Procarbazine,Pharmacodynamic additive effects
D0585,Eplerenone,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0585,Eplerenone,D1263,Phenelzine,Pharmacodynamic additive effects
D0585,Eplerenone,D1455,Selegiline,Pharmacodynamic additive effects
D0585,Eplerenone,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1501,Spironolactone,D0933,Linezolid,Pharmacodynamic additive effects
D1501,Spironolactone,D1345,Procarbazine,Pharmacodynamic additive effects
D1501,Spironolactone,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1501,Spironolactone,D1263,Phenelzine,Pharmacodynamic additive effects
